year,top10,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,speechiness,liveness,mode,group
2000,0,0.6794303797468354,0.7062784810126582,0.5956240506329114,118.96710126582279,-6.357658227848101,0.1465616012658228,0.013399055569620254,0.06618227848101266,0.15200253164556962,0.5949367088607594,not top 10
2000,1,0.6294,0.6722,0.6253,110.5042,-6.7473,0.131711,0.080912198,0.04263,0.22884,0.6,top 10
2001,0,0.6495121951219512,0.6700609756097561,0.5883853658536585,115.06301219512196,-6.381475609756097,0.16748123170731707,0.01504240512195122,0.11023780487804878,0.18614512195121952,0.6341463414634146,not top 10
2001,1,0.6562,0.6866,0.6065,93.911,-6.1916,0.209238,0.006629262999999999,0.06385,0.11638,0.6,top 10
2002,0,0.6610617283950617,0.7086172839506173,0.587925925925926,118.6504074074074,-6.017012345679013,0.1544783938271605,0.023696380864197533,0.11247777777777777,0.17422098765432098,0.6049382716049383,not top 10
2002,1,0.6554,0.7356,0.5846,122.494,-5.17,0.119328,1.7026e-5,0.06328,0.1207,0.6,top 10
2003,0,0.6639693877551021,0.6739183673469388,0.6219734693877551,115.92944897959184,-6.247255102040817,0.18427144897959183,0.016150245306122447,0.14481326530612246,0.17891020408163266,0.5612244897959183,not top 10
2003,1,0.6437,0.6919,0.5934,104.5796,-5.595,0.19553500000000001,8.480000000000001e-7,0.10980000000000001,0.18312,0.5,top 10
2004,0,0.6767377049180328,0.6719672131147542,0.5936393442622951,120.5386393442623,-6.162770491803279,0.18596895081967213,0.013397959016393443,0.14395573770491804,0.16964262295081967,0.5901639344262295,not top 10
2004,1,0.7409230769230769,0.6692307692307692,0.5933923076923077,112.77746153846154,-5.856769230769231,0.14124615384615385,0.03859209076923077,0.12266923076923077,0.1249076923076923,0.46153846153846156,top 10
2006,0,0.465,0.954,0.458,143.85,-4.251,3.46e-4,5.38e-6,0.044,0.5730000000000001,1,not top 10
2012,0,0.747,0.937,0.739,103.976,-5.746,0.0208,0,0.0453,0.29,1,not top 10
2021,1,0.7020000000000001,0.8250000000000001,0.915,102.977,-3.787,0.00883,0,0.0601,0.0674,0,top 10
