feature,correlationr
valence,-0.08910507274724287
tempo,0.06539989041755999
acousticness,0.06429604750146765
loudness,-0.03575878574356938
instrumentalness,-0.03356581068979641
speechiness,-0.022598274503094384
mode,0.01709459453697881
energy,-0.01365331574018092
liveness,-0.0012773039656055253
danceability,-7.175993760812016e-4
